問題,答え
将来の世代の必要性をみたしながら，現在の世代の必要性もみたすことができることを（　　　）という。,持続可能性
すべての民族が自らの政治を決定すべきという原則を（　　　）の原則という。,民族自決
人間の命令だけでなく，自ら学習して大量の情報を処理する（　　　）（ＡＩ）が増えてきている。,人工知能
"現在，女性の労働力は不可欠である。そのため，男女が職場で対等の立場で能力を発揮し，異性に対する嫌がらせとなる
（　　　）のない環境をつくることが求められる。",セクシュアルハラスメント
衆議院と参議院の議決が異なる場合には，意見調整などのために何が開かれるか。,両院協議会
犯罪の有無を判断し，有罪であれば刑罰をいいわたす裁判を何というか。,刑事裁判
社会保険のうち，加入者や事業主が保険料を支払い，病気やけがなどで医療に要した費用について，国の補助を加えた保険金の給付を受ける制度を何というか。,医療保険
国民の中から裁判員を選び，裁判官とともに被告人が有罪か無罪かを判断し，有罪の場合は刑罰を決定する制度を何というか。,裁判員制度
天皇は，（　　　）の助言と承認に基づいて，国事行為を行う。,内閣
政治に対して同じ目標をもつ人々の団体を，（　　　）という。,政党
スーパーマーケットやコンビニエンスストアなど，消費者に直接ものを売る仕事をまとめて何というか。,小売業
団結権，団体交渉権，団体行動権（争議権）の３つをまとめて何というか。,労働基本権（労働三権）
政治参加には，選挙・陳情・請願のほか，地方公共団体へ条例の制定や地方議会の解散などを求める（　　　）などがある。,直接請求
（　　　）の指名については，衆議院で議決したのち，10日以内に参議院で議決されない場合には，衆議院の議決が国会の議決となる。,内閣総理大臣
都道府県知事の被選挙権は，満（　　　）歳以上である。,30
政党などに投票し，得票率に応じて政党に議席を配分する選挙制度を何というか。,比例代表制
都道府県には，都道府県知事のもとに，知事の補佐・代理として（　　　）がおかれている。その選任には議会の同意が必要である。,副知事
財やサービスを買い，それを消費するくらしのことを何というか。,消費生活
株式を購入し，企業に資金を提供している人は，何とよばれるか。,株主
私たちは，情報通信技術（ＩＣＴ）の発達により，日本をはじめ世界じゅうの人たちと自由に交信できる（　　　）化が進んだ社会にくらしている。,情報
