問題,答え
14世紀に朝鮮半島や中国沿岸で，食料をうばったり人をさらったりするなど，海賊をはたらいた人々を（　　　）という。,倭寇
1221年に後鳥羽上皇が挙兵したが，幕府軍に敗れたできごとを（　　　）という。,承久の乱
戦乱期の中国で，道徳を中心とする政治を説いた孔子の教えを（　　　）という。,儒教（儒学）
世界中に進出したポルトガルと（　　　）は広大な植民地を築いた。,スペイン
南北朝の内乱が続く中，地方の守護がしだいに力を強め，一国を自らの領地として支配するようになった。このような守護を何というか。,守護大名
1498年，（　　　）はアフリカ南端を回り，インドに到達する航路を発見した。,バスコ=ダ=ガマ
食料の調理や保存のために土器を使用し，石を磨いた磨製石器を使うようになった時代を（　　　）時代という。,新石器
室町時代，近畿地方を中心に村では（　　　）とよばれる自治的な組織がつくられた。,惣
10世紀前半に新羅を滅ぼして朝鮮を統一した王朝を何というか。,高麗
文永の役・弘安の役をまとめて（　　　）という。,元寇
和人との交易によって生活が圧迫されたアイヌ民族は，15世紀中ごろに蜂起したが，その中心人物はだれか。,コシャマイン
室町時代，京都では，（　　　）とよばれる質屋や酒屋が，金貸しを営んで栄えた。,土倉
推古天皇の摂政となって政治を行った人物はだれか。,聖徳太子（厩戸皇子）
渡来人は，土木工事や金属加工のほかに，（　　　）とよばれるかたい質の土器をつくる技術を伝えた。,須恵器
弥生時代につくられた土器を何というか。,弥生土器
ルネサンス（文芸復興）の動きの中で，コペルニクスやガリレイが唱えた説は何か。,地動説
朝鮮半島から移り住んだ（　　　）とよばれる人々が，大陸の文化や技術を伝えた。,渡来人
運慶や快慶らによって（　　　）がつくられ，東大寺南大門に納められた。,金剛力士像
足利義満が京都の北山に建てた（　　　）には公家と武家の文化の融合が見られる。,金閣
聖徳太子（厩戸皇子）が，役人の心構えを示すために定めた法令を何というか。,十七条の憲法
